Model,Accuracy,F1-Score
Desision Tree,0.6307860262008733,0.588263939615291
Random Forest,0.635589519650655,0.6176403207331043
Logistic Regression,0.6157205240174672,0.6066160035762181
Naive Bayes,0.5434497816593886,0.36770486846084066
KNN,0.6253275109170305,0.6066024759284732
SVM,0.551528384279476,0.6491288008199522
XGBoost,0.6445414847161572,0.6264341441027994
ANN,0.5958515283842795,0.6476299257567104
