Model,Accuracy,F1-Score
Desision Tree,0.6406812970848346,0.5959484346224678
Random Forest,0.6400262037340321,0.6180048661800487
Logistic Regression,0.6259416966917786,0.6250820748522653
Naive Bayes,0.5453652145430724,0.3679417122040073
KNN,0.6249590566655748,0.6101464078992169
SVM,0.5417622011136587,0.641741357234315
XGBoost,0.6557484441532918,0.6351961124609511
ANN,0.5643629217163446,0.3970988213961922
